ell,split_seed,model,accuracy,balanced_accuracy,roc_auc,auc_advantage,train_samples,test_samples
1,42,Logistic Regression,0.4995,0.4995,0.4982301244444445,0.0017698755555555223,140000,30000
1,42,Random Forest,0.5071,0.5071,0.5067828844444444,0.006782884444444415,140000,30000
1,43,Logistic Regression,0.49683333333333335,0.49683333333333335,0.4975730044444444,0.002426995555555589,140000,30000
1,43,Random Forest,0.5011,0.5011,0.49843132,0.001568679999999989,140000,30000
1,44,Logistic Regression,0.5021333333333333,0.5021333333333333,0.5016835022222222,0.001683502222222244,140000,30000
1,44,Random Forest,0.5016333333333334,0.5016333333333334,0.5001463777777778,0.00014637777777781746,140000,30000
1,45,Logistic Regression,0.4976,0.4976,0.49717459555555554,0.002825404444444457,140000,30000
1,45,Random Forest,0.49783333333333335,0.49783333333333335,0.49869047555555557,0.001309524444444432,140000,30000
1,46,Logistic Regression,0.4977,0.49770000000000003,0.5006775422222223,0.0006775422222222716,140000,30000
1,46,Random Forest,0.5039,0.5039,0.5031414133333334,0.0031414133333333982,140000,30000
1,47,Logistic Regression,0.49893333333333334,0.49893333333333334,0.5002484888888888,0.0002484888888888426,140000,30000
1,47,Random Forest,0.5009,0.5009,0.4995437377777778,0.0004562622222222257,140000,30000
1,48,Logistic Regression,0.4973,0.49729999999999996,0.4979055777777778,0.0020944222222222253,140000,30000
1,48,Random Forest,0.49516666666666664,0.49516666666666664,0.49490820888888887,0.0050917911111111325,140000,30000
1,49,Logistic Regression,0.49656666666666666,0.49656666666666666,0.49549104888888895,0.004508951111111048,140000,30000
1,49,Random Forest,0.4994,0.49939999999999996,0.4993934355555556,0.0006065644444444018,140000,30000
1,50,Logistic Regression,0.49956666666666666,0.49956666666666666,0.49972216,0.00027783999999997366,140000,30000
1,50,Random Forest,0.4971,0.4971,0.4985543244444445,0.0014456755555555256,140000,30000
1,51,Logistic Regression,0.5029,0.5029,0.5061794488888889,0.006179448888888883,140000,30000
1,51,Random Forest,0.5077666666666667,0.5077666666666667,0.5067822,0.0067821999999999605,140000,30000
2,42,Logistic Regression,0.49956666666666666,0.4995666666666667,0.5028039777777777,0.002803977777777744,140000,30000
2,42,Random Forest,0.5005,0.5005,0.5028627511111111,0.002862751111111117,140000,30000
2,43,Logistic Regression,0.5001,0.5001,0.5009532933333334,0.0009532933333333826,140000,30000
